Date,Open,Close,High,Low,Volume
30-Aug-17,349.670013,353.179993,353.470001,347,3412900
31-Aug-17,353.549988,355.899994,358.440002,352.820007,4072800
1-Sep-17,356.119995,355.399994,357.589996,353.690002,3049500
5-Sep-17,353.799988,349.589996,355.48999,345.890015,3835100
6-Sep-17,349.5,344.529999,350.980011,341.559998,4091400
7-Sep-17,345.980011,350.609985,352.480011,343.450012,4239200
8-Sep-17,348.98999,343.399994,349.779999,342.299988,3263500
11-Sep-17,351.350006,363.690002,363.709991,350,7667100
12-Sep-17,364.48999,362.75,368.76001,360.399994,5972900
13-Sep-17,363.820007,366.230011,368.070007,359.589996,4185200
14-Sep-17,364.329987,377.640015,377.959991,362.630005,7202500
15-Sep-17,374.51001,379.809998,380,372.700012,5420500
18-Sep-17,380.25,385,389.609985,377.679993,7188000
19-Sep-17,380,375.100006,382.390015,373.570007,6451900
20-Sep-17,373,373.910004,378.25,371.070007,4919100
21-Sep-17,374.899994,366.480011,376.829987,364.51001,4618200
22-Sep-17,366.48999,351.089996,369.899994,350.880005,8159400
25-Sep-17,353.149994,344.98999,357.470001,342.880005,7605900
26-Sep-17,350.929993,345.25,351.23999,340.899994,7156300
27-Sep-17,349.899994,340.970001,351.48999,340.5,6060300
28-Sep-17,339.880005,339.600006,342.75,335.399994,5319600
29-Sep-17,341.859985,341.100006,344.679993,338.600006,5107100
2-Oct-17,342.519989,341.529999,343.700012,335.51001,5286800
3-Oct-17,335.899994,348.140015,348.549988,331.279999,10153600
4-Oct-17,351.25,355.01001,358.619995,349.600006,8163500
5-Oct-17,356,355.329987,357.440002,351.350006,4171700
6-Oct-17,353.100006,356.880005,360.100006,352.25,4297500
9-Oct-17,349.649994,342.940002,351.75,342.670013,7493700
10-Oct-17,346.799988,355.589996,355.630005,345.529999,6978500
11-Oct-17,353.890015,354.600006,357.600006,351.149994,4500800
12-Oct-17,352.950012,355.679993,359.779999,352.640015,4087000
13-Oct-17,356.980011,355.570007,358.48999,353.679993,3540500
16-Oct-17,353.76001,350.600006,354.480011,347.160004,5375500
17-Oct-17,350.910004,355.75,356.220001,350.070007,3293300
18-Oct-17,355.970001,359.649994,363,354.130005,4939100
